Form	Lemma	UPosTag	XPosTag	Feats
девятнадцатом	девятнадцат	ADJ	_	Case=Loc|Degree=Pos|Gender=Masc|Number=Sing	
веке	век	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	
во	в	ADP	_	_	
Франции	Франция	PROPN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	
появились	появиться	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Mid	
причём	причем	NOUN	_	Animacy=Inan|Case=Ins|Gender=Masc|Number=Sing	
это	это	PRON	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	
не	не	PART	_	_	
легковой	легковой	ADJ	_	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	
автомобиль	автомобиль	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	
был	быть	AUX	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	
как	как	SCONJ	_	_	
сейчас	сейчас	ADV	_	Degree=Pos	
с	с	ADP	_	_	
откидывающимся	откидывающиться	VERB	_	Aspect=Imp|Case=Dat|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Mid	
а	а	CCONJ	_	_	
верхом	верх	NOUN	_	Animacy=Inan|Case=Ins|Gender=Masc|Number=Sing	
а	а	X	_	Foreign=Yes	
легкая	легкий	ADJ	_	Case=Nom|Degree=Pos|Gender=Fem|Number=Sing	
повозка	повозка	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	
конная	конный	ADJ	_	Case=Nom|Degree=Pos|Gender=Fem|Number=Sing	
которая	который	PRON	_	Case=Nom	
на	на	ADP	_	_	
лошадь	лошадь	NOUN	_	Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing	
запрягалась	запрягать	VERB	_	Aspect=Imp|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid	
со-	с	ADP	_	_	
складывающейся	складываться	VERB	_	Aspect=Imp|Case=Loc|Gender=Fem|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Pass	
крышей	крыша	NOUN	_	Animacy=Inan|Case=Ins|Gender=Fem|Number=Sing	
а	а	CCONJ	_	_	
они	они	PRON	_	Case=Nom|Number=Plur|Person=3	
получили	получить	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	
распространение	распространение	NOUN	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	
в	в	ADP	_	_	
Париже	Париж	PROPN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	
Лондоне	Лондон	PROPN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	
в	в	ADP	_	_	
континентальной	континентальный	ADJ	_	Case=Loc|Degree=Pos|Gender=Fem|Number=Sing	
Европе	Европа	PROPN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	
они	они	PRON	_	Case=Nom|Number=Plur|Person=3	
причем	причем	CCONJ	_	_	
назывались	называться	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Mid	
от	от	ADP	_	_	
французского	французский	ADJ	_	Case=Gen|Degree=Pos|Gender=Masc|Number=Sing	
кабриоле	кабриол	NOUN	_	Animacy=Inan|Case=Dat|Gender=Fem|Number=Sing	
допустим	допустить	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Person=1|Tense=Fut|VerbForm=Fin|Voice=Act	
а	а	CCONJ	_	_	
в	в	ADP	_	_	
Великобритании	Великобритания	PROPN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	
э	э	X	_	Foreign=Yes	
назывались	называться	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Mid	
дроп	дроп	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	
хэд	хэд	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	
каб	каб	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	
а	а	X	_	Foreign=Yes	
купэ	купэ	X	_	Foreign=Yes	
со	с	ADP	_	_	
скл-	скл	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	
с	с	ADP	_	_	
откидывающейся	откидываться	VERB	_	Aspect=Imp|Case=Gen|Gender=Fem|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Mid	
с	с	ADP	_	_	
опускающейся	опускать	VERB	_	Aspect=Imp|Case=Ins|Gender=Fem|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Mid	
крышей	крыша	NOUN	_	Animacy=Inan|Case=Ins|Gender=Fem|Number=Sing	
и	и	CCONJ	_	_	
уже	уже	ADV	_	Degree=Pos	
в	в	ADP	_	_	
США	США	PROPN	_	Animacy=Inan|Case=Gen|Number=Plur	
в	в	ADP	_	_	
Австралии	Австралия	PROPN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	
конвёртбл	конвёртбласть	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	
ну	ну	PART	_	_	
нормально	нормальный	ADV	_	Degree=Pos	
иногда	иногда	ADV	_	Degree=Pos	
хорошо	хороший	ADV	_	Degree=Pos	
а	а	X	_	Foreign=Yes	
иногда	иногда	ADV	_	Degree=Pos	
не	не	PART	_	_	
очень	очень	ADV	_	Degree=Pos	
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	
вот	вот	PART	_	_	
год	год	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	
назад	назад	ADV	_	Degree=Pos	
закончил	закончить	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	
и	и	CCONJ	_	_	
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	
помню	помнить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	
как	как	SCONJ	_	_	
на	на	ADP	_	_	
последнем	последний	ADJ	_	Case=Loc|Degree=Pos|Gender=Masc|Number=Sing	
курсе	курс	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	
история	история	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	
забавная	забавный	ADJ	_	Case=Nom|Degree=Pos|Gender=Fem|Number=Sing	
получилась	получиться	VERB	_	Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid	
что	что	SCONJ	_	_	
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	
скидываю	скидывать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	
преподу	препод	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	
работу	работа	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	
и	и	CCONJ	_	_	
он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	
мне	я	PRON	_	Case=Dat|Number=Sing|Person=1	
пишет	писать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	
ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	
мне	я	PRON	_	Case=Dat|Number=Sing|Person=1	
че	что	PRON	_	Case=Nom	
такое	такой	DET	_	Case=Nom|Gender=Neut|Number=Sing	
отправил	отправить	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	
а	а	X	_	Foreign=Yes	
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	
думаю	думать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	
а	а	X	_	Foreign=Yes	
тебя	ты	PRON	_	Case=Acc|Number=Sing|Person=2	
ебет	ебть	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	
извиняюсь	извиняться	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Mid	
че	что	PRON	_	Case=Nom	
ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	
отправил	отправить	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	
че-то	что	PRON	_	Case=Nom	
отправил	отправить	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	
ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	
че-то	что	PRON	_	Case=Nom	
проверил	проверить	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	
играем	играть	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	
свои	свой	DET	_	Case=Acc|Number=Plur	
роли	роль	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur	
он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	
хватит	хватать	VERB	_	Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Fut|VerbForm=Fin|Voice=Act	
капать	капать	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	
под	под	ADP	_	_	
меня	я	PRON	_	Case=Acc|Number=Sing|Person=1	
пятый	пятый	ADJ	_	Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing	
курс	курс	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	
[нрзб]	нрзб	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	
зип	зип	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	
мне	я	PRON	_	Case=Dat|Number=Sing|Person=1	
двадцать	двадцать	NUM	_	Case=Acc	
четыре	четыре	NUM	_	Animacy=Inan|Case=Acc	
года	год	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	
на	на	ADP	_	_	
тот	тот	DET	_	Case=Acc|Gender=Masc|Number=Sing	
момент	момент	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	
[нрзб]	нрзб	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	
зип	зип	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	
скачал	скачать	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	
для	для	ADP	_	_	
этого	это	PRON	_	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing	
архив	архив	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	
запаковал	запаковать	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	
туда	туда	ADV	_	Degree=Pos	
что-то	что	SCONJ	_	_	
на	на	ADP	_	_	
мейлру	мейлр	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	
зашел	зайти	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	
он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	
такой	такой	DET	_	Case=Ins|Gender=Fem|Number=Sing	
че	что	PRON	_	Case=Nom	
ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	
мне	я	PRON	_	Case=Dat|Number=Sing|Person=1	
отправил	отправить	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	
вау	вау	NOUN	_	Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing	
архив	архив	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	
вот	вот	PART	_	_	
должна	должен	ADJ	_	Degree=Pos|Gender=Fem|Number=Sing|Variant=Short	
была	быть	AUX	_	Aspect=Imp|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	
быть	быть	AUX	_	Aspect=Imp|VerbForm=Inf|Voice=Act	
реакция	реакция	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	
а	а	CCONJ	_	_	
что	что	SCONJ	_	_	
эт	эт	NOUN	_	Animacy=Inan|Case=Dat|Gender=Masc|Number=Sing	
ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	
как-то	как-то	ADV	_	Degree=Pos	
реагируешь	реагировать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	
у	у	ADP	_	_	
тебя	ты	PRON	_	Case=Acc|Number=Sing|Person=2	
с	с	ADP	_	_	
настроением	настроение	NOUN	_	Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing	
что-то	что-то	PRON	_	Case=Acc	
ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	
из-за	из-за	ADP	_	_	
погоды	погода	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	
может	мочь	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	
быть	быть	AUX	_	Aspect=Imp|VerbForm=Inf|Voice=Act	
мхм	мх	NOUN	_	Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing	
а	а	CCONJ	_	_	
ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	
спросить	спросить	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	
меня	я	PRON	_	Case=Acc|Number=Sing|Person=1	
че-то	что	PRON	_	Case=Nom	
хочешь	хотеть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	
ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	
хочешь	хотеть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	
спросить	спросить	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	
не	не	PART	_	_	
занимался	заниматься	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid	
ли	ли	PART	_	_	
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	
паркуром	паркур	NOUN	_	Animacy=Inan|Case=Ins|Gender=Masc|Number=Sing	
да	да	CCONJ	_	_	
э-	э	X	_	Foreign=Yes	
да	да	CCONJ	_	_	
в	в	ADP	_	_	
точку	точка	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	
в	в	ADP	_	_	
точку	точка	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	
занимался	заниматься	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid	
мы	мы	PRON	_	Case=Nom|Number=Plur|Person=1	
занимались	заниматься	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Mid	
с	с	ADP	_	_	
другом	другой	ADJ	_	Case=Loc|Degree=Pos|Gender=Masc|Number=Sing	
ровно	ровно	ADV	_	Degree=Pos	
до	до	ADP	_	_	
того	тот	DET	_	Case=Gen|Gender=Masc|Number=Sing	
момента	момент	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	
пока	пока	ADV	_	Degree=Pos	
он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	
не	не	PART	_	_	
сломал	ломать	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	
обе	оба	NUM	_	Case=Nom|Gender=Fem	
ноги	нога	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Plur	
ну	ну	PART	_	_	
это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	
очень	очень	ADV	_	Degree=Pos	
смешно	смешной	ADJ	_	Degree=Pos|Gender=Neut|Number=Sing|Variant=Short	
было	быть	AUX	_	Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	
он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	
сделал	делать	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	
трюк	трюк	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	
ну	ну	PART	_	_	
там	там	ADV	_	Degree=Pos	
еще	еще	ADV	_	Degree=Pos	
дальше	далеко	ADV	_	Degree=Cmp	
что	что	SCONJ	_	_	
он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	
перелез	перелез	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	
ограду	ограда	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	
и	и	CCONJ	_	_	
у	у	ADP	_	_	
него	он	PRON	_	Case=Acc|Gender=Masc|Number=Sing|Person=3	
треснули	треснуть	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	
обе	оба	NUM	_	Case=Nom|Gender=Fem	
пятки	пятка	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur	
одновременно	одновременно	ADV	_	Degree=Pos	
ну	ну	PART	_	_	
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	
стою	стоить	NOUN	_	Animacy=Anim|Case=Dat|Gender=Masc|Number=Sing	
ржу	ржа	NOUN	_	Animacy=Anim|Case=Dat|Gender=Masc|Number=Sing	
а	а	CCONJ	_	_	
он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	
такой	такой	DET	_	Case=Ins|Gender=Fem|Number=Sing	
чувак	чувак	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	
мои	мой	DET	_	Case=Acc|Number=Plur	
ноги	нога	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur	
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	
говорю	говорить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	
да	да	CCONJ	_	_	
забей	забь	VERB	_	Aspect=Perf|Mood=Imp|Number=Sing|Person=2|VerbForm=Fin|Voice=Act	
ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	
просто	просто	PART	_	_	
прикалываешься	прикалываться	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Mid	
и	и	CCONJ	_	_	
мы	мы	PRON	_	Case=Nom|Number=Plur|Person=1	
разошлись	разойтись	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Mid	
вот	вот	PART	_	_	
как	как	SCONJ	_	_	
все	все	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	
закончилось	закончиться	VERB	_	Aspect=Perf|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid
